source ref des,source pad,note
P8,1,
P8,2,
P8,3,
P8,4,
P8,5,
P8,6,
P8,7,
P8,8,
P8,9,
P8,10,
P8,11,
P8,12,
P8,13,
P8,14,
P8,15,
P8,16,
P8,17,
P8,18,
P8,19,
P8,20,
P8,21,
P8,22,
P8,23,
P8,24,
P8,25,
P8,26,
P8,27,
P8,28,
P8,29,
P8,30,
P8,31,
P8,32,
P8,33,
P8,34,
P8,35,
P8,36,
P8,37,
P8,38,
P8,39,
P8,40,
P8,41,
P8,42,
P8,43,
P8,44,
P8,45,
P8,46,
P9,1,
P9,2,
P9,3,
P9,4,
P9,5,
P9,6,
P9,7,
P9,8,
P9,9,
P9,10,
P9,11,
P9,12,
P9,13,
P9,14,
P9,15,
P9,16,
P9,17,
P9,18,
P9,19,
P9,20,
P9,21,
P9,22,
P9,23,
P9,24,
P9,25,
P9,26,
P9,27,
P9,28,
P9,29,
P9,30,
P9,31,
P9,32,
P9,33,
P9,34,
P9,35,
P9,36,
P9,37,
P9,38,
P9,39,
P9,40,
P9,41,
P9,42,
P9,43,
P9,44,
P9,45,
P9,46,
X3,1,USB Host
X3,2,USB Host
X3,3,USB Host
X3,4,USB Host
X3,5,USB Host
X3,6,USB Host
X12,OUT,POWER
X12,OUT_CON,POWER
X12,IN,POWER
X1,1,
X1,4,
X1,5,
TP1,P$1,
TP2,P$1,
TP3,P$1,
TP4,P$1,
TP5,P$1,
TP6,TP,
TP12,TP,
TP13,TP,
TP14,TP,
TP15,TP,
TP16,TP,
TP17,TP,
TP18,TP,
TP19,TP,
TP23,TP,
P2,1,JTAG
P2,2,
P2,3,
P2,4,
P2,5,
P2,7,
P2,9,
P2,10,
P2,11,
P2,13,
P2,14,
P2,15,
P2,16,
P2,17,
P2,18,
P2,19,
P2,20,
